dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,QAOA,asap,mixed,W8_M8_F4,15,5,3.608491,0.073113,0.451061
raw,QAOA,asap,mixed,W8_M8_F5,15,5,4.157609,0.102439,0.519701
raw,QAOA,asap,mixed,W8_M8_F6,15,5,4.526627,0.127321,0.565828
raw,QAOA,asap,mixed,W8_M8_F7,15,5,4.861446,0.166667,0.607681
raw,QAOA,asap,mixed,W8_M8_F8,15,5,5.028037,0.178683,0.628505
raw,QAOA,ff_rate_matched,mixed,W8_M8_F4,15,5,3.608491,0.049528,0.451061
raw,QAOA,ff_rate_matched,mixed,W8_M8_F5,15,5,4.135135,0.100244,0.516892
raw,QAOA,ff_rate_matched,mixed,W8_M8_F6,15,5,4.50838,0.134897,0.563547
raw,QAOA,ff_rate_matched,mixed,W8_M8_F7,15,5,4.846847,0.163435,0.605856
raw,QAOA,ff_rate_matched,mixed,W8_M8_F8,15,5,5.028037,0.178683,0.628505
raw,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.923077,0.007692,0.490385
raw,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.434066,0.063037,0.554258
raw,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,5.189711,0.055016,0.648714
raw,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,5.24026,0.136364,0.655032
raw,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,5.24026,0.24026,0.655032
raw,QFT,asap,mixed,W8_M8_F4,15,5,3.817855,0.031156,0.477232
raw,QFT,asap,mixed,W8_M8_F5,15,5,4.644315,0.050292,0.580539
raw,QFT,asap,mixed,W8_M8_F6,15,5,5.40458,0.067854,0.675573
raw,QFT,asap,mixed,W8_M8_F7,15,5,6.08596,0.08978,0.760745
raw,QFT,asap,mixed,W8_M8_F8,15,5,6.679245,0.10808,0.834906
raw,QFT,ff_rate_matched,mixed,W8_M8_F4,15,5,3.817855,0.02876,0.477232
raw,QFT,ff_rate_matched,mixed,W8_M8_F5,15,5,4.644315,0.04814,0.580539
raw,QFT,ff_rate_matched,mixed,W8_M8_F6,15,5,5.40458,0.067006,0.675573
raw,QFT,ff_rate_matched,mixed,W8_M8_F7,15,5,6.08596,0.088825,0.760745
raw,QFT,ff_rate_matched,mixed,W8_M8_F8,15,5,6.679245,0.10808,0.834906
raw,QFT,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.873556,0.017618,0.484195
raw,QFT,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.727003,0.028127,0.590875
raw,QFT,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,5.536056,0.03649,0.692007
raw,QFT,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,6.247059,0.050831,0.780882
raw,QFT,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,6.941176,0.08061,0.867647
raw,VQE,asap,mixed,W8_M8_F4,15,5,3.778426,0.026239,0.472303
raw,VQE,asap,mixed,W8_M8_F5,15,5,4.628571,0.042857,0.578571
raw,VQE,asap,mixed,W8_M8_F6,15,5,5.377593,0.049793,0.672199
raw,VQE,asap,mixed,W8_M8_F7,15,5,6.056075,0.074766,0.757009
raw,VQE,asap,mixed,W8_M8_F8,15,5,6.646154,0.082051,0.830769
raw,VQE,ff_rate_matched,mixed,W8_M8_F4,15,5,3.800587,0.02346,0.475073
raw,VQE,ff_rate_matched,mixed,W8_M8_F5,15,5,4.628571,0.042857,0.578571
raw,VQE,ff_rate_matched,mixed,W8_M8_F6,15,5,5.377593,0.049793,0.672199
raw,VQE,ff_rate_matched,mixed,W8_M8_F7,15,5,6.056075,0.074766,0.757009
raw,VQE,ff_rate_matched,mixed,W8_M8_F8,15,5,6.646154,0.082051,0.830769
raw,VQE,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.650704,0.059155,0.456338
raw,VQE,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.348993,0.07047,0.543624
raw,VQE,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,4.965517,0.088123,0.62069
raw,VQE,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,5.562232,0.128755,0.695279
raw,VQE,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,QAOA,asap,mixed,W8_M8_F4,15,5,3.966346,0.245192,0.495793
shifted,QAOA,asap,mixed,W8_M8_F5,15,5,4.951456,0.154004,0.618932
shifted,QAOA,asap,mixed,W8_M8_F6,15,5,5.933824,0.100719,0.741728
shifted,QAOA,asap,mixed,W8_M8_F7,15,5,6.903766,0.058824,0.862971
shifted,QAOA,asap,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QAOA,ff_rate_matched,mixed,W8_M8_F4,15,5,3.966346,0.007371,0.495793
shifted,QAOA,ff_rate_matched,mixed,W8_M8_F5,15,5,4.951456,0.006135,0.618932
shifted,QAOA,ff_rate_matched,mixed,W8_M8_F6,15,5,5.933824,0.007353,0.741728
shifted,QAOA,ff_rate_matched,mixed,W8_M8_F7,15,5,6.903766,0.008547,0.862971
shifted,QAOA,ff_rate_matched,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.966346,0.007371,0.495793
shifted,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.951456,0.009202,0.618932
shifted,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,5.933824,0.007353,0.741728
shifted,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,6.903766,0.008547,0.862971
shifted,QAOA,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QFT,asap,mixed,W8_M8_F4,10,5,3.950547,0.390088,0.493818
shifted,QFT,asap,mixed,W8_M8_F5,10,5,4.916091,0.298173,0.614511
shifted,QFT,asap,mixed,W8_M8_F6,10,5,5.844985,0.206252,0.730623
shifted,QFT,asap,mixed,W8_M8_F7,10,5,6.777781,0.118091,0.847222
shifted,QFT,asap,mixed,W8_M8_F8,10,5,7.652152,0.01698,0.956519
shifted,QFT,ff_rate_matched,mixed,W8_M8_F4,10,5,3.950547,0.006634,0.493818
shifted,QFT,ff_rate_matched,mixed,W8_M8_F5,10,5,4.906505,0.010181,0.613313
shifted,QFT,ff_rate_matched,mixed,W8_M8_F6,10,5,5.844985,0.012568,0.730623
shifted,QFT,ff_rate_matched,mixed,W8_M8_F7,10,5,6.777781,0.017708,0.847222
shifted,QFT,ff_rate_matched,mixed,W8_M8_F8,10,5,7.652152,0.01698,0.956519
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F4,10,5,3.976948,0.005763,0.497119
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F5,10,5,4.956957,0.007174,0.619619
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F6,10,5,5.938918,0.008116,0.742364
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F7,10,5,6.927118,0.006681,0.865889
shifted,QFT,stall_aware_shifted_refined,mixed,W8_M8_F8,10,5,7.906067,0.00762,0.988258
shifted,VQE,asap,mixed,W8_M8_F4,15,5,3.963303,0.434251,0.495413
shifted,VQE,asap,mixed,W8_M8_F5,15,5,4.927757,0.311787,0.61597
shifted,VQE,asap,mixed,W8_M8_F6,15,5,5.917808,0.191781,0.739726
shifted,VQE,asap,mixed,W8_M8_F7,15,5,6.857143,0.084656,0.857143
shifted,VQE,asap,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,ff_rate_matched,mixed,W8_M8_F4,15,5,3.963303,0.009174,0.495413
shifted,VQE,ff_rate_matched,mixed,W8_M8_F5,15,5,4.927757,0.011407,0.61597
shifted,VQE,ff_rate_matched,mixed,W8_M8_F6,15,5,5.917808,0.009132,0.739726
shifted,VQE,ff_rate_matched,mixed,W8_M8_F7,15,5,6.857143,0.015873,0.857143
shifted,VQE,ff_rate_matched,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F4,15,5,3.963303,0.009174,0.495413
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F5,15,5,4.927757,0.011407,0.61597
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F6,15,5,5.917808,0.009132,0.739726
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F7,15,5,6.857143,0.015873,0.857143
shifted,VQE,stall_aware_shifted_refined,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
